0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
156;154;13/02/1999;08;10;24;33;45;48;000;0;;;000;144;7.88829;9252;12278;SIM;3.692.25160;000;000
157;155;20/02/1999;12;32;44;43;35;30;000;1;;;4.988.80821;67;16.12632;4974;21722;NÃO;000;000;000
158;156;27/02/1999;52;23;42;17;55;49;000;0;;;000;74;11.01810;4455;18302;SIM;978.40741;000;000
159;157;06/03/1999;17;13;04;44;41;21;000;1;;;2.140.03092;134;7.22403;8894;10884;NÃO;000;000;000
160;158;13/03/1999;58;43;51;14;17;04;000;0;;;000;31;25.85653;3630;22081;SIM;961.86312;000;000
161;159;20/03/1999;16;09;50;58;11;35;000;1;;PR;2.038.17067;57;15.73549;4124;21749;NÃO;000;000;000
162;160;27/03/1999;13;42;52;58;02;54;000;0;;;000;74;19.43189;6132;23450;SIM;11.251.51163;000;000
163;161;03/04/1999;25;37;30;39;06;41;000;0;;;000;95;14.43061;6865;19969;SIM;12.896.60104;000;000
164;162;10/04/1999;23;33;51;38;48;21;000;0;;;000;92;20.94130;7244;26596;SIM;15.208.52083;000;000
165;163;17/04/1999;41;56;27;36;53;08;000;2;;;8.975.83336;146;15.65723;10793;21180;NÃO;000;000;000
166;164;24/04/1999;04;19;14;10;44;28;000;0;;;000;111;7.59563;8386;10054;SIM;1.011.73790;000;000
167;165;01/05/1999;39;56;19;23;10;35;000;2;;;1.044.44454;75;11.96835;5378;16691;NÃO;000;000;000
168;166;08/05/1999;60;57;59;13;12;22;000;0;;;000;47;17.42467;3371;24295;SIM;982.75154;000;000
169;167;15/05/1999;01;38;48;28;11;33;000;1;;;2.100.98021;82;11.36411;4997;18648;NÃO;000;000;000
170;168;22/05/1999;45;02;35;09;50;31;000;0;;;000;48;15.74370;3528;21420;SIM;906.83693;000;000
171;169;29/05/1999;52;51;37;13;21;01;000;0;;;000;65;13.67908;4489;19807;SIM;1.973.80491;000;000
172;170;05/06/1999;07;51;55;41;58;46;000;0;;;000;50;32.38395;6257;25878;SIM;13.643.09571;000;000
173;171;12/06/1999;54;27;04;43;40;46;000;1;;;16.052.41083;134;14.98330;10378;19346;NÃO;000;000;000
174;172;19/06/1999;49;36;14;26;35;10;000;0;;;000;64;13.46012;4592;18689;SIM;1.033.73670;000;000
175;173;26/06/1999;29;28;49;17;42;50;000;1;;;2.148.31642;40;23.22041;3610;25632;NÃO;000;000;000
176;174;03/07/1999;11;52;22;23;36;59;000;0;;;000;44;17.84685;3217;24318;SIM;942.31358;000;000
177;175;10/07/1999;10;20;13;01;42;50;000;0;;;000;114;8.09408;7058;13025;SIM;2.049.58299;000;000
178;176;17/07/1999;28;04;01;45;53;03;000;0;;;000;62;16.69639;5405;19080;SIM;3.291.79461;000;000
179;177;24/07/1999;35;22;39;41;59;38;000;0;;;000;52;21.71629;4408;25521;SIM;4.646.89081;000;000
180;178;31/07/1999;05;27;19;26;15;33;000;1;;;6.129.53943;198;6.24011;13086;9407;NÃO;000;000;000
181;179;07/08/1999;06;53;05;26;27;23;000;0;;;000;78;10.28159;5646;14151;SIM;962.35704;000;000
182;180;14/08/1999;39;06;29;60;51;23;000;0;;;000;111;15.90798;6978;25209;SIM;12.143.00993;000;000
183;181;21/08/1999;33;01;55;35;51;27;000;0;;;000;182;11.12707;11797;17102;SIM;14.573.16271;000;000
